GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2016091109,9/11/2016,1,15,0,SEA,MIA,1,10,25,,0,,0,(15:00) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 89-D.BALDWIN PUSHED OB AT SEA 32 FOR 7 YARDS (25-X.HOWARD).,0,,,2016,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,25,OWN,0,,0,,0
2016091112,9/11/2016,1,15,0,ARI,NE,1,10,25,,0,,0,(15:00) 31-D.JOHNSON LEFT TACKLE TO ARI 27 FOR 2 YARDS (97-A.BRANCH).,0,,,2016,2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT TACKLE,25,OWN,0,,0,,0
2016091112,9/11/2016,1,14,25,ARI,NE,2,8,27,,1,,0,(14:25) (SHOTGUN) 3-C.PALMER PASS SHORT LEFT TO 84-J.GRESHAM TO ARI 40 FOR 13 YARDS (32-D.MCCOURTY).,0,,,2016,13,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,27,OWN,0,,0,,0
2016091109,9/11/2016,1,14,29,SEA,MIA,2,3,32,,1,,0,(14:29) (SHOTGUN) 3-R.WILSON PASS SHORT LEFT TO 16-T.LOCKETT PUSHED OB AT SEA 38 FOR 6 YARDS (41-B.MAXWELL).,0,,,2016,6,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,32,OWN,0,,0,,0
2016091112,9/11/2016,1,13,3,ARI,NE,3,12,38,,0,,0,(13:03) (SHOTGUN) 3-C.PALMER PASS SHORT MIDDLE TO 11-L.FITZGERALD TO ARI 49 FOR 11 YARDS (26-L.RYAN) [54-D.HIGHTOWER].,0,,,2016,11,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,38,OWN,0,,0,,0
2016091109,9/11/2016,1,13,11,SEA,MIA,4,4,44,,0,,0,"(13:11) 9-J.RYAN PUNTS 37 YARDS TO MIA 19, CENTER-48-N.FRESE, FAIR CATCH BY 14-J.LANDRY.",0,,,2016,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,44,OWN,0,,0,,0
2016091109,9/11/2016,1,13,19,SEA,MIA,3,4,44,,0,,0,(13:19) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT MIDDLE TO 16-T.LOCKETT (41-B.MAXWELL).,0,,,2016,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,44,OWN,0,,0,,0
2016091109,9/11/2016,1,13,23,SEA,MIA,2,4,44,,0,,0,(13:23) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT RIGHT TO 16-T.LOCKETT.,0,,,2016,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,44,OWN,0,,0,,0
2016091112,9/11/2016,1,13,40,ARI,NE,2,10,40,,0,,0,(13:40) (SHOTGUN) 31-D.JOHNSON RIGHT END TO ARI 38 FOR -2 YARDS (93-J.SHEARD).,0,,,2016,-2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT END,40,OWN,0,,0,,0
2016091112,9/11/2016,1,13,45,ARI,NE,1,10,40,,0,,0,(13:45) (SHOTGUN) 3-C.PALMER PASS INCOMPLETE DEEP LEFT TO 15-M.FLOYD.,0,,,2016,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,40,OWN,0,,0,,0
2016091109,9/11/2016,1,13,54,SEA,MIA,1,10,38,,0,,0,(13:54) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 16-T.LOCKETT PUSHED OB AT SEA 44 FOR 6 YARDS (25-X.HOWARD).,0,,,2016,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,38,OWN,0,,0,,0
2016091112,9/11/2016,1,12,9,ARI,NE,4,1,49,,0,,0,"(12:09) (PUNT FORMATION) PENALTY ON ARI-2-D.BUTLER, DELAY OF GAME, 5 YARDS, ENFORCED AT ARI 49 - NO PLAY.",0,,,2016,0,UNDER CENTER,PUNT,0,0,0,0,,0,0,0,,0,0,0,1,0,0,,49,OWN,1,ARI,1,DELAY OF GAME,5
2016091109,9/11/2016,1,11,19,SEA,MIA,1,10,33,,0,,0,"(11:19) (SHOTGUN) PENALTY ON SEA-79-G.GILLIAM, FALSE START, 5 YARDS, ENFORCED AT SEA 33 - NO PLAY.",0,,,2016,0,SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,,0,0,0,1,0,0,,33,OWN,1,SEA,1,FALSE START,5
2016091109,9/11/2016,1,11,19,SEA,MIA,1,15,28,,0,,0,(11:19) (SHOTGUN) 3-R.WILSON RIGHT END TO SEA 31 FOR 3 YARDS (20-R.JONES).,0,,,2016,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT END,28,OWN,0,,0,,0
2016091112,9/11/2016,1,11,59,ARI,NE,4,6,44,,0,,0,"(11:59) 2-D.BUTLER PUNTS 38 YARDS TO NE 18, CENTER-86-K.CANADAY. 80-D.AMENDOLA TO NE 26 FOR 8 YARDS (20-D.BUCANNON).",0,,,2016,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,44,OWN,0,,0,,0
2016091109,9/11/2016,1,10,4,SEA,MIA,3,12,31,,1,,0,(10:04) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 22-C.PROSISE TO SEA 44 FOR 13 YARDS (47-K.ALONSO; 24-I.ABDUL-QUDDUS).,0,,,2016,13,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,31,OWN,0,,0,,0
2016091109,9/11/2016,1,10,45,SEA,MIA,2,12,31,,0,,0,(10:45) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 32-C.MICHAEL TO SEA 31 FOR NO GAIN (55-K.MISI).,0,,,2016,0,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,31,OWN,0,,0,,0
2016091109,9/11/2016,1,9,2,SEA,MIA,2,9,45,,0,,0,(9:02) (SHOTGUN) 3-R.WILSON PASS SHORT LEFT TO 15-J.KEARSE TO 50 FOR 5 YARDS (31-M.THOMAS; 47-K.ALONSO).,0,,,2016,5,SHOTGUN,PASS,0,1,0,0,SHORT LEFT,0,0,0,,0,0,0,0,0,0,,45,OWN,0,,0,,0
2016091109,9/11/2016,1,9,23,SEA,MIA,1,10,44,,0,,0,(9:23) 32-C.MICHAEL RIGHT TACKLE TO SEA 45 FOR 1 YARD (50-A.BRANCH; 90-E.MITCHELL). MIA-97-J.PHILLIPS WAS INJURED DURING THE PLAY.,0,,,2016,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT TACKLE,44,OWN,0,,0,,0
2016091109,9/11/2016,1,8,23,SEA,MIA,3,4,50,,1,,0,(8:23) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 82-L.WILLSON TO MIA 43 FOR 7 YARDS (53-J.JENKINS; 25-X.HOWARD).,0,,,2016,7,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,50,OPP,0,,0,,0
2016091112,9/11/2016,1,7,2,ARI,NE,1,10,50,,0,,0,(7:02) (SHOTGUN) 31-D.JOHNSON UP THE MIDDLE TO NE 47 FOR 3 YARDS (90-M.BROWN).,0,,,2016,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,50,OPP,0,,0,,0
2016091109,9/11/2016,1,7,19,SEA,MIA,1,10,71,,1,,0,(7:19) 32-C.MICHAEL RIGHT TACKLE TO MIA 17 FOR 12 YARDS (25-X.HOWARD; 20-R.JONES).,0,,,2016,12,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT TACKLE,29,OPP,0,,0,,0
2016091112,9/11/2016,1,7,29,ARI,NE,1,10,11,,1,,0,(7:29) 3-C.PALMER PASS DEEP LEFT TO 15-M.FLOYD RAN OB AT 50 FOR 39 YARDS [98-T.FLOWERS].,0,,,2016,39,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,11,OWN,0,,0,,0
2016091109,9/11/2016,1,7,49,SEA,MIA,1,10,57,,1,,0,(7:49) (SHOTGUN) 3-R.WILSON PASS SHORT RIGHT TO 89-D.BALDWIN PUSHED OB AT MIA 29 FOR 14 YARDS (25-X.HOWARD).,0,,,2016,14,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,43,OPP,0,,0,,0
2016091109,9/11/2016,1,6,5,SEA,MIA,2,9,84,,0,,0,(6:05) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT MIDDLE TO 15-J.KEARSE (20-R.JONES).,0,,,2016,0,SHOTGUN,PASS,0,1,1,0,SHORT MIDDLE,0,0,0,,0,0,0,0,0,0,,16,OPP,0,,0,,0
2016091112,9/11/2016,1,6,18,ARI,NE,4,7,53,,0,,0,"(6:18) 2-D.BUTLER PUNTS 39 YARDS TO NE 8, CENTER-86-K.CANADAY, FAIR CATCH BY 80-D.AMENDOLA.",0,,,2016,0,PUNT,PUNT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,47,OPP,0,,0,,0
2016091112,9/11/2016,1,6,22,ARI,NE,3,7,53,,0,,0,(6:22) (SHOTGUN) 3-C.PALMER PASS INCOMPLETE DEEP LEFT TO 14-J.NELSON.,0,,,2016,0,SHOTGUN,PASS,0,1,1,0,DEEP LEFT,0,0,0,,0,0,0,0,0,0,,47,OPP,0,,0,,0
2016091112,9/11/2016,1,6,26,ARI,NE,2,7,53,,0,,0,(6:26) (SHOTGUN) 3-C.PALMER PASS INCOMPLETE SHORT RIGHT TO 31-D.JOHNSON.,0,,,2016,0,SHOTGUN,PASS,0,1,1,0,SHORT RIGHT,0,0,0,,0,0,0,0,0,0,,47,OPP,0,,0,,0
2016091109,9/11/2016,1,6,42,SEA,MIA,1,10,83,,0,,0,(6:42) 34-T.RAWLS UP THE MIDDLE TO MIA 16 FOR 1 YARD (73-J.WARMSLEY).,0,,,2016,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,17,OPP,0,,0,,0
2016091109,9/11/2016,1,5,11,SEA,MIA,0,0,35,,1,,0,4-S.HAUSCHKA KICKS 62 YARDS FROM SEA 35 TO MIA 3. 26-D.WILLIAMS TO MIA 20 FOR 17 YARDS (57-M.MORGAN).,0,,,2016,0,UNDER CENTER,KICK OFF,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,35,OWN,0,,0,,0
2016091109,9/11/2016,1,5,15,SEA,MIA,4,14,79,,0,,0,"(5:15) 4-S.HAUSCHKA 39 YARD FIELD GOAL IS GOOD, CENTER-48-N.FRESE, HOLDER-9-J.RYAN.",0,,,2016,0,FIELD GOAL,FIELD GOAL,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,21,OPP,0,,0,,0
